Date,ISIN,SECURITY_NAME,Maturity,RESIDUAL_NS,SIGNAL,Z_Residual_Score,Volatility_Score,Cluster_Score,Regression_Score,COMPOSITE_SCORE,Z_SPRD_VAL,Top_Features,Top_Feature_Effects_Pct
2026-06-23,FR0013480613,FRTR 0 3/4 05/25/52,2052-05-25,-3.3084156730302823,NO ACTION,-0.8408848043816494,0.9778247560937285,-0.5285738972040663,0.1559114030383902,-0.7773493216645997,117.698,"['Issue_Age', 'YAS_RISK', 'AMT_OUTSTANDING']","[0.5573692599581556, 0.18077201279754304, 0.09694362533862326]"
2026-06-23,FR0013515806,FRTR 0 1/2 05/25/40,2040-05-25,1.0827104259698077,NO ACTION,0.5705114607868631,0.9936033685042629,0.46075651341575197,-0.6304875540055249,0.5691029327733549,85.609,"['Issue_Age', 'REL_SPRD_LOG', 'Cpn']","[0.3777829700941527, 0.2129539577700288, 0.19694527228300693]"
2026-06-23,FR0013516549,FRTR 0 11/25/30,2030-11-25,-2.8217475587587817,WEAK SELL,-1.1247388678656742,0.9908761484601483,-1.0522994768169638,0.549789710032067,-1.0751972356979889,15.92,"['Issue_Age', 'Cpn', 'REL_SPRD_LOG']","[0.49634154732303554, 0.25249141470870773, 0.10999420358100676]"
2026-06-23,FR0014001NN8,FRTR 0 1/2 05/25/2072,2072-05-25,-8.248721302460567,STRONG SELL,-1.9771083098196571,0.9740512961791988,-1.7719135054351887,0.6873418727163372,-1.7162624035192307,126.902,"['REL_SPRD_LOG', 'AMT_OUTSTANDING', 'Issue_Age']","[0.4708083119743746, 0.23324880883345495, 0.16306143883754678]"
2026-06-23,FR0014002JM6,FRTR 0 1/2 06/25/44,2044-06-25,-7.357574243383638,STRONG SELL,-1.871262431782423,0.9767901581629612,-1.7378326650339786,-0.2512263573959893,-1.695627407558964,93.75,"['GREEN_BOND_LOAN_INDICATOR', 'Issue_Age', 'AMT_OUTSTANDING']","[0.38557902575006153, 0.2205320110962802, 0.20443233800729563]"
2026-06-23,FR0014002WK3,FRTR 0 11/25/31,2031-11-25,-1.6834838128073528,MODERATE SELL,-1.2299737517000746,0.9956717158801793,-1.0398559425873448,-1.4390339139613675,-1.3732689202002064,26.338,"['Issue_Age', 'Cpn', 'REL_SPRD_LOG']","[0.35825887792738376, 0.21395249328306168, 0.16673312584858802]"
2026-06-23,FR0014004J31,FRTR 0 3/4 05/25/53,2053-05-25,-1.3791551844059455,NO ACTION,-0.3971731639055567,0.988823279228264,-0.487368577941478,0.27703844518845216,-0.5392732211609068,121.295,"['Issue_Age', 'REL_SPRD_LOG', 'YAS_RISK']","[0.3463823116140062, 0.2735880683935119, 0.22241583574603932]"
2026-06-23,FR0014007L00,FRTR 0 05/25/32,2032-05-25,0.0207082976438002,NO ACTION,0.10344884065547189,0.9898139850435033,0.38065126181258074,-2.088937594615087,0.3053690616021316,32.424,"['AMT_OUTSTANDING', 'YAS_RISK', 'Cpn']","[0.2578642222777881, 0.22201606996918025, 0.21988919371519985]"
2026-06-23,FR0014009O62,FRTR 1 1/4 05/25/38,2038-05-25,4.092923728003981,MODERATE BUY,1.441366004195869,0.9842505712183011,1.4637942547103846,-1.378532002149582,1.301931560222069,78.357,"['Cpn', 'YAS_RISK', 'REL_SPRD_LOG']","[0.38673499936567063, 0.18996387219200797, 0.16589257063670804]"
2026-06-23,FR001400AIN5,FRTR 0 3/4 02/25/28,2028-02-25,4.128644160792501,STRONG BUY,1.8272855547394162,0.9818096314258055,1.475432292304604,0.9889440517050574,1.6728351833323696,-6.382,"['Issue_Age', 'YAS_RISK', 'AMT_OUTSTANDING']","[0.4120016878620518, 0.3773223717842054, 0.09597453045661275]"
2026-06-23,FR001400BKZ3,FRTR 2 11/25/32,2032-11-25,0.6564661349245853,NO ACTION,0.6008891575648599,0.9916046438138998,0.8324376591604941,-0.6376210846235834,0.6905746896879437,37.331,"['Issue_Age', 'AMT_OUTSTANDING', 'YAS_RISK']","[0.48466391775473433, 0.15559809124438992, 0.14699019490486523]"
2026-06-23,FR001400CMX2,FRTR 2 1/2 05/25/43,2043-05-25,-2.114054791353425,NO ACTION,-0.354312541497813,0.9869329703951573,-0.3696549661889677,0.9147081495193232,-0.4832755001583426,95.091,"['YAS_RISK', 'AMT_OUTSTANDING', 'GREEN_BOND_LOAN_INDICATOR']","[0.43888761832732903, 0.3605934546420073, 0.08134271205320738]"
2026-06-23,FR001400FTH3,FRTR 3 05/25/54,2054-05-25,2.18166703474796,NO ACTION,0.4217822221714718,0.9899722770640991,0.5738871270703,-0.13930849339771725,0.5243152880488329,126.375,"['AMT_OUTSTANDING', 'Issue_Age', 'YAS_RISK']","[0.4570236622404696, 0.21017518705303506, 0.15009073072034917]"
2026-06-23,FR001400H7V7,FRTR 3 05/25/33,2033-05-25,1.8824565432318607,MODERATE BUY,1.5601491485146766,0.9881745210991238,1.1574833272902136,-0.4690698368732174,1.2761759468432137,42.608,"['REL_SPRD_LOG', 'AMT_OUTSTANDING', 'Issue_Age']","[0.30655905179415716, 0.29683638545924124, 0.19401672911513548]"
2026-06-23,FR001400HI98,FRTR 2 3/4 02/25/29,2029-02-25,-0.3325013001102576,NO ACTION,-0.34903866145849455,0.9870697688260447,-0.9066712402859558,-0.17412699520023553,-0.6638657240619198,0.493,"['Issue_Age', 'AMT_OUTSTANDING', 'YAS_RISK']","[0.47057851067982337, 0.19942537506781674, 0.1451868983444582]"
2026-06-23,FR001400L834,FRTR 3 1/2 11/25/33,2033-11-25,2.260344537037554,WEAK SELL,-0.7365784439214701,0.9932865914743136,-0.8894641656090608,0.8105641447450839,-0.8294668548170822,46.956,"['Issue_Age', 'REL_SPRD_LOG', 'Cpn']","[0.4895790613389709, 0.2684218946909158, 0.11654521791866067]"
2026-06-23,FR001400NEF3,FRTR 3 06/25/49,2049-06-25,-4.357331850503044,WEAK SELL,-1.08212559097974,0.9751781107518419,-1.2021635146203309,0.212514082870836,-1.093408585759962,110.828,"['GREEN_BOND_LOAN_INDICATOR', 'AMT_OUTSTANDING', 'YAS_RISK']","[0.4301462608510998, 0.24407129507804656, 0.16427924869310587]"
2026-06-23,FR001400OHF4,FRTR 3 1/4 05/25/55,2055-05-25,3.266826508436381,WEAK BUY,0.6713586236411333,0.9870305947090559,1.0100635551390933,0.8571590041686175,0.9237179847099295,128.841,"['AMT_OUTSTANDING', 'YAS_RISK', 'Issue_Age']","[0.4498581205202862, 0.2655273113327938, 0.1619693954225847]"
2026-06-23,FR001400PM68,FRTR 2 3/4 02/25/30,2030-02-25,-1.696771177239265,WEAK BUY,0.6615140445759904,0.9801830533870151,1.1170418410439527,-2.6119036117097787,0.8011079366251118,9.653,"['Issue_Age', 'AMT_OUTSTANDING', 'YAS_RISK']","[0.3266157181253648, 0.17517071220785652, 0.16645961587498145]"
2026-06-23,FR001400QMF9,FRTR 3 11/25/34,2034-11-25,2.438331777754918,NO ACTION,-0.4415570599363282,0.99207503658936,-0.6601059426155842,1.608780003439024,-0.6120083855360352,54.587,"['REL_SPRD_LOG', 'Issue_Age', 'AMT_OUTSTANDING']","[0.456525372572615, 0.3729519193479341, 0.09318388130077536]"
2026-06-23,FR001400WYO4,FRTR 3.6 05/25/42,2042-05-25,-0.4790513796428115,NO ACTION,0.11869385596087723,0.9864349707632384,0.11471238127355032,0.5439498896959974,0.3298954983996295,92.827,"['Issue_Age', 'YAS_RISK', 'AMT_OUTSTANDING']","[0.586571330756816, 0.15684229924248924, 0.11506152187159442]"
2026-06-23,FR001400X8V5,FRTR 3.2 05/25/35,2035-05-25,2.942706601466881,WEAK BUY,0.39446555572439307,0.9852772447792989,0.772830908140936,2.2123062141564414,0.945544910206886,58.588,"['Issue_Age', 'AMT_OUTSTANDING', 'REL_SPRD_LOG']","[0.8170386687287234, 0.07413989586151112, 0.06786207024349657]"
2026-06-23,FR001400XJJ3,FRTR 3 3/4 05/25/56,2056-05-25,4.490496342801208,WEAK BUY,0.9527910962432558,0.9774515947607844,1.1977442711871613,0.6800675522489678,1.0900729438952645,131.32,"['Issue_Age', 'AMT_OUTSTANDING', 'YAS_RISK']","[0.4138567162375951, 0.30417622775818615, 0.14864713285050588]"
2026-06-23,FR001400XLW2,FRTR 2.4 09/24/28,2028-09-24,0.6247730148756858,NO ACTION,0.11795782890624462,0.9808349328531071,0.15730648783855142,0.9818391680672494,0.4157912970701204,-3.221,"['Issue_Age', 'YAS_RISK', 'Cpn']","[0.4958083324697157, 0.2542906807015346, 0.13477130747625496]"
2026-06-23,FR001400Z2L7,FRTR 2.7 02/25/31,2031-02-25,-1.2033786216994675,MODERATE BUY,1.4449295044806563,0.9895121427039941,1.2611424115423067,-0.08840629364608638,1.2467670520207284,19.941,"['Issue_Age', 'REL_SPRD_LOG', 'AMT_OUTSTANDING']","[0.5624060525744212, 0.1490229731700663, 0.1089288462324448]"
2026-06-23,FR0014012II5,FRTR 3 1/2 11/25/35,2035-11-25,3.384591820818386,WEAK BUY,1.126909007570887,0.9868400090464523,1.1669965203117418,0.31955570062793326,1.1106411237732616,62.455,"['Issue_Age', 'REL_SPRD_LOG', 'AMT_OUTSTANDING']","[0.5950283546243244, 0.16587873576823473, 0.08404198814087123]"
2026-06-23,FR0014015MU5,FRTR 4.1 05/25/46,2046-05-25,-4.435673327798938,WEAK SELL,-1.025956656936377,0.9786693535159493,-0.8017622474616916,0.21662396631814682,-0.9507234049263443,102.761,"['YAS_RISK', 'AMT_OUTSTANDING', 'Issue_Age']","[0.32973911986166754, 0.27612825900740084, 0.2328771620477271]"
2026-06-23,FR0014016CV2,FRTR 4.4 05/25/57,2057-05-25,6.492569445407099,MODERATE BUY,1.4132489483313144,0.9798951915516299,0.9741911791177704,2.0364606017205764,1.4959408178778204,134.454,"['Issue_Age', 'YAS_RISK', 'REL_SPRD_LOG']","[0.6262650878459982, 0.26957500916576776, 0.05260088432934179]"
2026-06-23,FR0014016G71,FRTR 2.4 09/24/29,2029-09-24,-1.4202011497085278,WEAK BUY,1.1006557237137937,0.9801998746177557,0.7123214453748096,0.6446931257526827,1.0218340237062538,5.581,"['Issue_Age', 'AMT_OUTSTANDING', 'REL_SPRD_LOG']","[0.6183937095511766, 0.14808145576777562, 0.09807260547677794]"
2026-06-23,FR0014017Z10,FRTR 3.8 06/25/37,2037-06-25,2.79880313233312,MODERATE BUY,1.066976986747316,0.9889042776179637,0.8062451306369883,1.7339871838482706,1.2195722391926027,71.827,"['Issue_Age', 'Cpn', 'YAS_RISK']","[0.7977347253482131, 0.08377823057495452, 0.048695478266129334]"
2026-06-23,FR0014018OI0,FRTR 3 1/4 02/25/32,2032-02-25,0.1616945778392775,NO ACTION,0.2137616921655348,0.9744631722606477,0.19091514055694161,1.5561078442025333,0.5720141836223955,30.418,"['Issue_Age', 'AMT_OUTSTANDING', 'YAS_RISK']","[0.5615073832275271, 0.25735627651093956, 0.10062253158321724]"
2026-06-23,FR0014018YR0,FRTR 3.7 11/25/36,2036-11-25,4.225656338242899,MODERATE BUY,1.4797655410682182,0.9794966212577498,0.8813368600784495,0.7968119113995087,1.2910451316542513,69.738,"['Issue_Age', 'REL_SPRD_LOG', 'Cpn']","[0.6518481871847276, 0.12317459215622169, 0.09869443500949623]"
2026-06-23,DE0001030724,DBR 0 08/15/50,2050-08-15,-2.202202511381639,STRONG SELL,-2.2473622903467825,0.851903183499058,-1.774729123896171,0.0,-1.947523900774781,24.678,,
2026-06-23,DE0001030732,DBR 0 08/15/31,2031-08-15,-0.2175615346585164,WEAK SELL,-0.7564297603440607,0.9458454649024759,-0.8278845581443914,0.0,-0.8505064033358619,-14.961,,
2026-06-23,DE0001030757,DBR 1.8 08/15/53,2053-08-15,-0.6308191849428333,NO ACTION,-0.40853150734280774,0.8516691780778883,-0.6827285706208565,0.0,-0.5964053284181066,29.776,,
2026-06-23,DE0001102341,DBR 2 1/2 08/15/46,2046-08-15,-0.7101908003805626,NO ACTION,-0.5014120714343308,0.9986956943053331,-0.5687527064219907,0.0,-0.6398129721760052,20.203,,
2026-06-23,DE0001102432,DBR 1 1/4 08/15/48,2048-08-15,-0.2468072583267861,NO ACTION,0.04083876394710449,0.9863693812419586,0.5803392736288498,0.0,0.378024099552428,23.834,,
2026-06-23,DE0001102481,DBR 0 08/15/50,2050-08-15,-0.5932025113816408,NO ACTION,-0.36451252347380314,0.8408687268268188,-1.1184599741851518,0.0,-0.70383615780749,26.287,,
2026-06-23,DE0001102515,DBR 0 05/15/35,2035-05-15,-0.3078785318091706,NO ACTION,0.5194872552199238,0.9746001547025046,0.39382305009588675,0.0,0.5830503597005053,-4.136,,
2026-06-23,DE0001102531,DBR 0 02/15/31,2031-02-15,-0.9772740476865138,NO ACTION,0.0,0.9865860754067124,0.00250027118229684,0.0,0.17814529583922875,-17.266,,
2026-06-23,DE0001102549,DBR 0 05/15/36,2036-05-15,-0.8995216637213859,NO ACTION,0.006879299514259339,0.9646215568916132,0.5310758078087028,0.0,0.3401368635186124,-2.039,,
2026-06-23,DE0001102564,DBR 0 08/15/31,2031-08-15,0.2404384653414837,NO ACTION,-0.13351927629050372,0.9420002543725092,-0.46824996732901686,0.0,-0.39527326289799897,-14.503,,
2026-06-23,DE0001102572,DBR 0 08/15/52,2052-08-15,-0.824026068539343,WEAK SELL,-0.6346219583918715,0.9698807021003812,-1.2061670078702953,0.0,-0.9037433343617446,28.498,,
2026-06-23,DE0001102580,DBR 0 02/15/32,2032-02-15,0.0140960437774353,NO ACTION,-0.44136003475844177,0.9925911912540896,-0.4563763053991036,0.0,-0.5710198224788048,-13.183,,
